n,relevance,seniority,note,title,firm,location,department,url,ats,token,job_id
3,relevant,unknown,options trader; proprietary trading; quantitative,Experienced Options Trader – Singapore Office,belvederetrading.com,Singapore,Experienced,https://jobs.lever.co/belvederetrading/25963deb-5dfd-42da-88b4-3cd3b5d8d5ef,lever,belvederetrading,25963deb-5dfd-42da-88b4-3cd3b5d8d5ef
4,adjacent,unknown,private markets advisory; not quant research,Private Markets Specialist,cmcmarkets.com,London,,https://cmcmarkets.wd3.myworkdayjobs.com/en-US/CMC_Markets_Careers/job/London/Private-Markets-Specialist_CMC4653,workday,cmcmarkets|wd3|CMC_Markets_Careers,/job/London/Private-Markets-Specialist_CMC4653
6,rejected,unknown,health tech data scientist; not finance,Senior Product Data Scientist ,accomplice.co,UK,Technology,https://jobs.ashbyhq.com/zoe/4a8410a5-6abb-4570-a0af-04e5452b8c39,ashby,zoe,4a8410a5-6abb-4570-a0af-04e5452b8c39
7,rejected,junior_0_2,insurance risk; out of scope,Junior Quantitative Analyst (Credit & Financial Risk),dualinsurance.com,Switzerland - Bodmerstrasse 9,,https://hyperiongrp.wd3.myworkdayjobs.com/en-US/hyperion_external/job/Switzerland---Bodmerstrasse-9/Junior-Quantitative-Analyst--Credit---Financial-Risk-_R0018956,workday,hyperiongrp|wd3|hyperion_external,/job/Switzerland---Bodmerstrasse-9/Junior-Quantitative-Analyst--Credit---Financial-Risk-_R0018956
8,relevant,unknown,derivatives structuring; option pricing models,"Associate, Equity Derivatives Structuring, Equity Derivatives",clsa.com,Hong Kong,,https://citicclsa.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong/Associate--Equity-Derivatives-Structuring--Equity-Derivatives_JR002605-1,workday,citicclsa|wd3|External,/job/Hong-Kong/Associate--Equity-Derivatives-Structuring--Equity-Derivatives_JR002605-1
9,adjacent,junior_0_2,trading support; not quant,Trading Assistant (Emerging Markets),bluecrestcapital.com,"Singapore, Central Singapore, Singapore",Emerging Markets,https://job-boards.greenhouse.io/bluecrestcapitalmanagement/jobs/7544700003,greenhouse,bluecrestcapitalmanagement,7544700003
12,relevant,senior_6_10,senior quant researcher; 3+ years required,Senior Quantitative Researcher - Options Market Making,mavensecurities.com,London,Options Market Making,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/4238630,greenhouse,mavensecuritiesholdingltd,4238630
16,rejected,unknown,supplier management; not relevant,Market Data Business Analyst,cards.barclaycardus.com,Glasgow Campus,,https://barclays.wd3.myworkdayjobs.com/en-US/External_Career_Site_Barclays/job/Glasgow-Campus/Market-Data-Business-Analyst_JR-0000093534,workday,barclays|wd3|External_Career_Site_Barclays,/job/Glasgow-Campus/Market-Data-Business-Analyst_JR-0000093534
19,adjacent,unknown,fund administration; operations not quant,Depositary Officer - Alternative Assets,apexgroup.com,Farum,,https://theapexgroup.wd3.myworkdayjobs.com/en-US/apexgroupcareers/job/Farum/Depositary-Officer---Alternative-Assets_JR-0023691,workday,theapexgroup|wd3|apexgroupcareers,/job/Farum/Depositary-Officer---Alternative-Assets_JR-0023691
22,rejected,unknown,nuclear engineering; not finance,Structural Analyst II,reveillevc.com,Los Angeles,Reactor Hardware Engineering,https://jobs.ashbyhq.com/Antares/45fcab03-3f4e-4018-8650-23f80cab0c9f,ashby,Antares,45fcab03-3f4e-4018-8650-23f80cab0c9f
23,less_relevant,mid_3_5,ESG analytics; reporting over alpha research,"Quantitative & Risk Analytics – ESG Analytics, Senior Associate",barings.com,"London, United Kingdom; Charlotte,  NC, United States",,https://barings.wd1.myworkdayjobs.com/en-US/Barings/job/London-United-Kingdom/Quantitative---Risk-Analytics---ESG-Analytics--Senior-Associate_JR_006613,workday,barings|wd1|Barings,/job/London-United-Kingdom/Quantitative---Risk-Analytics---ESG-Analytics--Senior-Associate_JR_006613
24,rejected,new_grad,student insight programme; not a job,Women in Trading & Technology Insight Programme - 2027,gsa-coral.com,London,Onsite events,https://www.gsacapital.com/careers/gh/?gh_jid=8518528002,greenhouse,gsacapital,8518528002
25,relevant,junior_0_2,quant strategist; trading models,Quantitative Strategist (PhD),itgeurope.com,"Austin, TX; New York",Research,https://job-boards.greenhouse.io/virtu/jobs/4205353002,greenhouse,virtu,4205353002
