n,relevance,seniority,note,title,firm,location,department,url,ats,token,job_id
1,rejected,unknown,Swedish procurement consultant; no finance/markets,Upphandlingskonsult till ArkivIT,ArkivIT AB,"Stockholm, Stockholms län",Upphandlare,https://arbetsformedlingen.se/platsbanken/annonser/31218882,jobtech,jobstream,31218882
2,rejected,unknown,Payment processing infrastructure; not quant work,Software Development Engineer III,gocardless.com,"London, UK",Product Development,https://job-boards.greenhouse.io/gocardless/jobs/7627201,greenhouse,gocardless,7627201
3,less_relevant,unknown,Quant dev supporting researchers; building not research,Quantitative Developer - Fundamental Equities,schonfeld.com,"London, England, United Kingdom",Fundamental Equity COO Office,https://job-boards.greenhouse.io/schonfeld/jobs/7957690,greenhouse,schonfeld,7957690
4,less_relevant,student_intern,C++ intern on trading systems; tech not research,Quantitative Technologist (C++ Intern) ,radixtrading.com,Chicago,Research Technology & Trading Systems,https://job-boards.greenhouse.io/radixuniversity/jobs/8500265002,greenhouse,radixuniversity,8500265002
5,less_relevant,new_grad,Graduate quant trader; trading desk not research,Graduate Quant Trader,flowtraders.com,Hong Kong,Trading,https://job-boards.greenhouse.io/flowtraders/jobs/7760610,greenhouse,flowtraders,7760610
6,relevant,junior_0_2,Junior quant researcher; explicit research focus,Junior Quantitative Researcher ,flowtraders.com,Amsterdam,Trading,https://job-boards.greenhouse.io/flowtraders/jobs/6492219,greenhouse,flowtraders,6492219
7,rejected,unknown,Admin/office operations in Thailand; not finance,Admin Specialist - Office Operations & Set-up,moomoo.com,,,https://apply.workable.com/j/82B38FE4CF,workable,moomoo,82B38FE4CF
8,rejected,unknown,Product/business solutions fintech; not quant research,"Business Solution Specialist, Private Wealth & Institutional Business",moomoo.com,,,https://apply.workable.com/j/2674B33D4E,workable,moomoo,2674B33D4E
9,less_relevant,senior_6_10,Experienced FX trader; trading desk focused,Experienced FX/Forex Trader,gelbergroup.com,"Chicago, IL",Trading,https://job-boards.greenhouse.io/gelbergroup/jobs/4684331006,greenhouse,gelbergroup,4684331006
10,less_relevant,unknown,Trading automation engineer; systems not research,Software Engineer (Trading Automation),flowtraders.com,New York,Product Development,https://job-boards.greenhouse.io/flowtraders/jobs/8120460,greenhouse,flowtraders,8120460
11,less_relevant,new_grad,Graduate trader; training and trading desk focused,Graduate Trader,flowtraders.com,Amsterdam,Trading,https://job-boards.greenhouse.io/flowtraders/jobs/7507482,greenhouse,flowtraders,7507482
12,less_relevant,student_intern,Barclays QA internship; analytics support not research,Quantitative Analytics Associate Off Cycle Internship 2027 Hong Kong,cards.barclaycardus.com,"Hong Kong, Cheung Kong Center",,https://barclays.wd3.myworkdayjobs.com/en-US/External_Career_Site_Barclays/job/Hong-Kong-Cheung-Kong-Center/Quantitative-Analytics-Associate-Off-Cycle-Internship-2027-Hong-Kong_JR-0000117565,workday,barclays|wd3|External_Career_Site_Barclays,/job/Hong-Kong-Cheung-Kong-Center/Quantitative-Analytics-Associate-Off-Cycle-Internship-2027-Hong-Kong_JR-0000117565
