verdict,reason,hub,title,firm,fit,relevance,url,id
keep,keep,hong kong,"Research Analyst, Vietnam Equities, Research",clsa.com,plausible,adjacent,https://citicclsa.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong/Research-Analyst--Vietnam-Equities--Research_JR003275,workday:citicclsa|wd3|External:/job/Hong-Kong/Research-Analyst--Vietnam-Equities--Research_JR003275
keep,keep,singapore,2027 Management Associate Programme - GFM003 GFM FX/Commod/Emission Derivatives,dbs.com,plausible,adjacent,https://dbs.wd3.myworkdayjobs.com/en-US/DBS_Careers/job/Singapore---Central/XMLNAME-2027-Management-Associate-Programme---GFM003-GFM-FX-Commod-Emission-Derivatives_WD87896,workday:dbs|wd3|DBS_Careers:/job/Singapore---Central/XMLNAME-2027-Management-Associate-Programme---GFM003-GFM-FX-Commod-Emission-Derivatives_WD87896
keep,keep,singapore,WEB DEVELOPER,~spark systems pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/engineering/web-developer-spark-systems-ca1c16f1985d77dc764697e031340d70,mycareersfuture:singapore:ca1c16f1985d77dc764697e031340d70
keep,keep,singapore,"Senior Analyst, Global Credit",~omers asia pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/banking-finance/senior-analyst-global-credit-omers-asia-3f06ff08bfd466867aba81e94719bff2,mycareersfuture:singapore:3f06ff08bfd466867aba81e94719bff2
keep,keep,singapore,Risk Analyst,"~exoduspoint capital management singapore, pte. ltd.",plausible,adjacent,https://www.mycareersfuture.gov.sg/job/banking-finance/risk-analyst-exoduspoint-capital-management-singapore-292e583aadab8775719c72e84ae465c8,mycareersfuture:singapore:292e583aadab8775719c72e84ae465c8
keep,keep,hong kong,Quant Trader,citibank.com.sg,plausible,less_relevant,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Hong-Kong--Hong-Kong/Quant-Trader_26966889,workday:citi|wd5|2:/job/Hong-Kong--Hong-Kong/Quant-Trader_26966889
keep,keep,singapore,Quant Researcher #77900,~anradus pte. ltd.,stretch,relevant,https://www.mycareersfuture.gov.sg/job/banking-finance/quant-researcher-77900-anradus-9d50d610e4001585aa9e968bd8e94317,mycareersfuture:singapore:9d50d610e4001585aa9e968bd8e94317
keep,keep,singapore,Management Associate / Trainee (Full Time / Part Time),~wisdom asset management (apac) pte. limited,,,https://www.mycareersfuture.gov.sg/job/banking-finance/management-associate-trainee-wisdom-asset-management-35c27e0477a166b418acc3ae5ee7f862,mycareersfuture:singapore:35c27e0477a166b418acc3ae5ee7f862
keep,keep,singapore,Junior Software Engineer - AI/ML,~hcl singapore pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/information-technology/junior-software-engineer-aiml-hcl-singapore-89393c2da5c22af6d915a51b77cd63d4,mycareersfuture:singapore:89393c2da5c22af6d915a51b77cd63d4
keep,keep,singapore,Investment Research Analyst,~boustead services pte. ltd.,plausible,adjacent,https://www.mycareersfuture.gov.sg/job/banking-finance/investment-research-analyst-boustead-services-f3623a8348f0609882baa27fd54c6c22,mycareersfuture:singapore:f3623a8348f0609882baa27fd54c6c22
keep,keep,singapore,Investment Associate Fund of Funds,~robert walters (singapore) pte ltd,plausible,adjacent,https://www.mycareersfuture.gov.sg/job/banking-finance/investment-associate-fund-funds-robert-walters-e156e3064d0f50aa3ed6d6b90d7b24ee,mycareersfuture:singapore:e156e3064d0f50aa3ed6d6b90d7b24ee
keep,keep,hong kong,Investment Associate,northerntrust.com,plausible,adjacent,https://ntrs.wd1.myworkdayjobs.com/en-US/northerntrust/job/Hong-Kong/Investment-Associate_R160242,workday:ntrs|wd1|northerntrust:/job/Hong-Kong/Investment-Associate_R160242
keep,keep,singapore,Fullstack Developer,~innova digital solutions pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/information-technology/fullstack-developer-innova-digital-solutions-974108de345efd6935bf5dfe5bc274e1,mycareersfuture:singapore:974108de345efd6935bf5dfe5bc274e1
keep,keep,singapore,Front Office Risk Management - Global Markets Division,bankofsingapore.com,plausible,adjacent,https://ocbc.wd102.myworkdayjobs.com/en-US/External/job/OCBC-Singapore/Front-Office-Risk-Management---Global-Markets-Division_JR00010492,workday:ocbc|wd102|External:/job/OCBC-Singapore/Front-Office-Risk-Management---Global-Markets-Division_JR00010492
keep,keep,singapore,Finance and Treasury Management,~siam gas trading pte. ltd.,plausible,adjacent,https://www.mycareersfuture.gov.sg/job/accounting/finance-treasury-management-siam-gas-trading-167efa35a34792a64d2255fd93b924b2,mycareersfuture:singapore:167efa35a34792a64d2255fd93b924b2
keep,keep,singapore,"Finance Analyst, Product Control (Banking, 12 Month Contract) UID:2269",~persol singapore pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/banking-finance/finance-analyst-product-control-uid2269-persol-singapore-3e94ead3ed06893f29a81bcde6c3649e,mycareersfuture:singapore:3e94ead3ed06893f29a81bcde6c3649e
keep,keep,singapore,"FX Spot Trading, Analyst",~barclays bank plc,plausible,adjacent,https://www.mycareersfuture.gov.sg/job/banking-finance/fx-spot-trading-analyst-barclays-bank-plc-88aecdc1a271308326d044b61ddee60d,mycareersfuture:singapore:88aecdc1a271308326d044b61ddee60d
keep,keep,singapore,Emerging Markets Trading - AM,bankofsingapore.com,plausible,adjacent,https://ocbc.wd102.myworkdayjobs.com/en-US/External/job/OCBC-Singapore/Emerging-Markets-Trading---AM_JR00010166,workday:ocbc|wd102|External:/job/OCBC-Singapore/Emerging-Markets-Trading---AM_JR00010166
keep,keep,singapore,Data Engineer,~abeam analytics pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/information-technology/data-engineer-abeam-analytics-32b6eb460085de6ddd23eeedd4df00cb,mycareersfuture:singapore:32b6eb460085de6ddd23eeedd4df00cb
keep,keep,singapore,Commodities Analyst (Agricultural Products),~balyasny asset management (singapore) pte. ltd.,plausible,adjacent,https://www.mycareersfuture.gov.sg/job/banking-finance/commodities-analyst-balyasny-asset-management-0d6c2e0781d62805c7cbb09a919056b5,mycareersfuture:singapore:0d6c2e0781d62805c7cbb09a919056b5
keep,keep,hong kong,"Associate, Investment Solutions, Asset Management",clsa.com,plausible,adjacent,https://citicclsa.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong/Associate--Investment-Solutions--Asset-Management_JR003269,workday:citicclsa|wd3|External:/job/Hong-Kong/Associate--Investment-Solutions--Asset-Management_JR003269
