n,relevance,seniority,note,title,firm,location,department,url,ats,token,job_id
1,rejected,,from the board,Inköpare för UBW Inköp support,centio.teamtailor.com,"Stockholm, Stockholms län",Inköpare,https://arbetsformedlingen.se/platsbanken/annonser/31367846,jobtech,jobstream,31367846
2,rejected,,THis is an ai scraping job - totally wrong,AI Training Contributor - Cantonese - Remote,clear.ventures,Taiwan (Remote),LiltLancer Community,https://jobs.ashbyhq.com/lilt-production/00e0e527-2b8a-4b62-98a9-1beee5b5ba58,ashby,lilt-production,00e0e527-2b8a-4b62-98a9-1beee5b5ba58
3,,,,Experienced Options Trader – Singapore Office,belvederetrading.com,Singapore,Experienced,https://jobs.lever.co/belvederetrading/25963deb-5dfd-42da-88b4-3cd3b5d8d5ef,lever,belvederetrading,25963deb-5dfd-42da-88b4-3cd3b5d8d5ef
4,,,,Private Markets Specialist,cmcmarkets.com,London,,https://cmcmarkets.wd3.myworkdayjobs.com/en-US/CMC_Markets_Careers/job/London/Private-Markets-Specialist_CMC4653,workday,cmcmarkets|wd3|CMC_Markets_Careers,/job/London/Private-Markets-Specialist_CMC4653
5,adjacent,mid_3_5,relevant-but not what i am looking for as this is not a market role-its a credit role,Senior quantitative analyst within credit risk and capital,swedbank.com,"Stockholm Region, Sundbyberg, Sweden","Risk management, compliance and legal",https://jobs.swedbank.com/jobs/27496-senior-quantitative-analyst-within-credit-risk-and-capital,teamtailor,jobs.swedbank.com,43ead79f-9243-43a4-b725-f871ce109d36
6,,,,Senior Product Data Scientist ,accomplice.co,UK,Technology,https://jobs.ashbyhq.com/zoe/4a8410a5-6abb-4570-a0af-04e5452b8c39,ashby,zoe,4a8410a5-6abb-4570-a0af-04e5452b8c39
7,,,,Junior Quantitative Analyst (Credit & Financial Risk),dualinsurance.com,Switzerland - Bodmerstrasse 9,,https://hyperiongrp.wd3.myworkdayjobs.com/en-US/hyperion_external/job/Switzerland---Bodmerstrasse-9/Junior-Quantitative-Analyst--Credit---Financial-Risk-_R0018956,workday,hyperiongrp|wd3|hyperion_external,/job/Switzerland---Bodmerstrasse-9/Junior-Quantitative-Analyst--Credit---Financial-Risk-_R0018956
8,,,,"Associate, Equity Derivatives Structuring, Equity Derivatives",clsa.com,Hong Kong,,https://citicclsa.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong/Associate--Equity-Derivatives-Structuring--Equity-Derivatives_JR002605-1,workday,citicclsa|wd3|External,/job/Hong-Kong/Associate--Equity-Derivatives-Structuring--Equity-Derivatives_JR002605-1
9,,,,Trading Assistant (Emerging Markets),bluecrestcapital.com,"Singapore, Central Singapore, Singapore",Emerging Markets,https://job-boards.greenhouse.io/bluecrestcapitalmanagement/jobs/7544700003,greenhouse,bluecrestcapitalmanagement,7544700003
10,rejected,,This is a compliance (legal job). Totally irrelevant,"Compliance Monitoring Officer, Payward Europe Solutions Ltd",payward.com,Ireland,Compliance,https://jobs.ashbyhq.com/kraken.com/026130b9-40b0-4222-bae7-2b632bb37623,ashby,kraken.com,026130b9-40b0-4222-bae7-2b632bb37623
11,rejected,,from the board,Part-Time Sales Consultants,sweden,Stockholm,,https://jobbsafari.se/jobb/part-time-sales-consultants-scsom-20454218,jobbsafari,sweden,20454218
12,,,,Senior Quantitative Researcher - Options Market Making,mavensecurities.com,London,Options Market Making,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/4238630,greenhouse,mavensecuritiesholdingltd,4238630
13,rejected,mid_3_5,not relevant because of frontend - consumer facing software development,"Software Engineer, Frontend (Coinbase Advisor - Agentic Trading)",blockchaincapital.com,Remote - USA,Engineering - Frontend,https://www.coinbase.com/careers/positions/8070574?gh_jid=8070574,greenhouse,coinbase,8070574
14,rejected,mid_3_5,rejected beacause of loans and analyst - this is a lawyer/accountant job,Distressed Loan Analyst,eaglepointcredit.com,"Greenwich, CT",Investment,https://jobs.lever.co/eaglepointcredit/fac881ad-f2e3-4ca1-8762-0b4e8a1a013e,lever,eaglepointcredit,fac881ad-f2e3-4ca1-8762-0b4e8a1a013e
15,rejected,,from the board,Masterdatakoortinator Data Cleansing - Martin & Servera Restauranghandel,sweden,Stockholm,,https://jobbsafari.se/jobb/masterdatakoortinator-data-cleansing-martin-servera-restauranghandel-sksee-20436028,jobbsafari,sweden,20436028
16,,,,Market Data Business Analyst,cards.barclaycardus.com,Glasgow Campus,,https://barclays.wd3.myworkdayjobs.com/en-US/External_Career_Site_Barclays/job/Glasgow-Campus/Market-Data-Business-Analyst_JR-0000093534,workday,barclays|wd3|External_Career_Site_Barclays,/job/Glasgow-Campus/Market-Data-Business-Analyst_JR-0000093534
17,rejected,,from the board,Miljösamordnare,sweden,Stockholm,,https://jobbsafari.se/jobb/miljosamordnare-sasrb-20482984,jobbsafari,sweden,20482984
18,rejected,,real estate job,"Associate, Equity Investments & Asset Management",berkshireresidentialinvestments.com,San Francisco Office,Equity Investments,https://job-boards.greenhouse.io/berkshiregroupllc/jobs/4320684009,greenhouse,berkshiregroupllc,4320684009
19,,,,Depositary Officer - Alternative Assets,apexgroup.com,Farum,,https://theapexgroup.wd3.myworkdayjobs.com/en-US/apexgroupcareers/job/Farum/Depositary-Officer---Alternative-Assets_JR-0023691,workday,theapexgroup|wd3|apexgroupcareers,/job/Farum/Depositary-Officer---Alternative-Assets_JR-0023691
20,rejected,,business analyst,Business Analyst,afsgroup.nl,"Amsterdam, Netherlands",,https://afsgroup.recruitee.com/o/business-analyst,recruitee,afsgroup,2689057
21,rejected,,administrative job,"Client Service Associate (Springfield, MO) ",tuftoncapital.com,"Remote, USA; Springfield",Wealth Solutions - Brokerage Solutions,https://job-boards.greenhouse.io/merceradvisors/jobs/5288309008,greenhouse,merceradvisors,5288309008
22,,,,Structural Analyst II,reveillevc.com,Los Angeles,Reactor Hardware Engineering,https://jobs.ashbyhq.com/Antares/45fcab03-3f4e-4018-8650-23f80cab0c9f,ashby,Antares,45fcab03-3f4e-4018-8650-23f80cab0c9f
23,,,,"Quantitative & Risk Analytics – ESG Analytics, Senior Associate",barings.com,"London, United Kingdom; Charlotte,  NC, United States",,https://barings.wd1.myworkdayjobs.com/en-US/Barings/job/London-United-Kingdom/Quantitative---Risk-Analytics---ESG-Analytics--Senior-Associate_JR_006613,workday,barings|wd1|Barings,/job/London-United-Kingdom/Quantitative---Risk-Analytics---ESG-Analytics--Senior-Associate_JR_006613
24,,,,Women in Trading & Technology Insight Programme - 2027,gsa-coral.com,London,Onsite events,https://www.gsacapital.com/careers/gh/?gh_jid=8518528002,greenhouse,gsacapital,8518528002
25,,,,Quantitative Strategist (PhD),itgeurope.com,"Austin, TX; New York",Research,https://job-boards.greenhouse.io/virtu/jobs/4205353002,greenhouse,virtu,4205353002
26,,,,Early Career Next Gen Quant Equity Researcher,robeco.com,Robeco Institutional Asset Management US Inc. - Boston,,https://robeco.wd3.myworkdayjobs.com/en-US/robecoexternalcareers/job/Robeco-Institutional-Asset-Management-US-Inc---Boston/Early-Career-Next-Gen-Quant-Equity-Researcher_R2068,workday,robeco|wd3|robecoexternalcareers,/job/Robeco-Institutional-Asset-Management-US-Inc---Boston/Early-Career-Next-Gen-Quant-Equity-Researcher_R2068
27,rejected,senior_6_10,This is a lawyer role,Commercial Counsel,monarch.com,Remote (US),Operations,https://jobs.ashbyhq.com/monarchmoney/056379f5-d447-47cd-bca9-fad91ab55ba7,ashby,monarchmoney,056379f5-d447-47cd-bca9-fad91ab55ba7
28,,,,Senior Data Scientist,khim.com,"Irving, TX 75062 Vizient Corporate HQ; Chicago, IL 60607; Centennial, CO 80111",,https://vizient.wd1.myworkdayjobs.com/en-US/Vizient_Careers/job/Irving-TX-75062-Vizient-Corporate-HQ/Senior-Data-Scientist_34796R,workday,vizient|wd1|Vizient_Careers,/job/Irving-TX-75062-Vizient-Corporate-HQ/Senior-Data-Scientist_34796R
29,,,,Product Specialist - Cash Equity & Market Data,euronext.com,2 Locations,,https://hrhub.wd3.myworkdayjobs.com/en-US/Euronext_Career_Page/job/Paris/Product-Specialist---Cash-Equity---Market-Data_R25957-1,workday,hrhub|wd3|Euronext_Career_Page,/job/Paris/Product-Specialist---Cash-Equity---Market-Data_R25957-1
30,,,,Quantitative Researcher ,headlandstech.com,Amsterdam; Chicago; London; New York,Monetization,https://job-boards.greenhouse.io/headlandstechnologiesllc/jobs/4194144009,greenhouse,headlandstechnologiesllc,4194144009
31,,,,"Quantitative Researcher, PhD ",aquatic.com,Chicago; New York,Research,https://job-boards.greenhouse.io/aquaticcapitalmanagement/jobs/8387685002,greenhouse,aquaticcapitalmanagement,8387685002
32,adjacent,junior_0_2,trading job,Prime Sales Trader,blockchaincapital.com,Remote - USA,"Institutional Sales, Trading, and Prime Services",https://www.coinbase.com/careers/positions/8013951?gh_jid=8013951,greenhouse,coinbase,8013951
33,rejected,,rejected because of reliability - nothing to do with finance,Senior Site Reliability Engineer,oceans.ventures,"Somerville, MA",Engineering,https://tulip.co/careers/job-posting/?gh_jid=7814583003,greenhouse,tulip,7814583003
34,,,,Quantitative Engineer – Risk Analytics,swissquant.com,Zürich,Product,https://swissquant.bamboohr.com/careers/116,bamboohr,swissquant,116
35,,,,Quantitative Researcher - Macro,manhong.com.hk,London,Core,https://job-boards.eu.greenhouse.io/mangroup/jobs/4724414101,greenhouse,mangroup,4724414101
36,rejected,,not in finance,Midlevel User Researcher,paradoxinteractive.com,"Stockholm, Sweden, Stockholm, Sweden",User Research,https://career.paradoxplaza.com/jobs/7884736-midlevel-user-researcher,teamtailor,career.paradoxplaza.com,870f4f0a-3765-4f06-95cf-68bebaceb4fd
